id_sampling_point;date_sample_collect;precision_date;id_level_1;level_1_scale_obs;id_level_2;level_2_scale_obs;id_level_3;level_3_scale_obs;country_code;main_prog_name;additional_name;data_type;id_sample;macrof_sampl_obs_meth;macrofauna_nb_samples;macrofauna_extract_duration;macrofauna_sampling_met_iso;macrof_sampled_each_subsample;macrofauna_exposit_time_traps
2019-01-01-NA_AT_SECBIVIT_F-AODc8_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;AODc8;F;NA;B;1;P;AT;secbivit;;Metadata Macrofauna;2019-01-01-NA_AT_SECBIVIT_F-AODc8_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_AT_SECBIVIT_F-AODc8_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;AODc8;F;NA;B;2;P;AT;secbivit;;Metadata Macrofauna;2019-01-01-NA_AT_SECBIVIT_F-AODc8_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_AT_SECBIVIT_F-AODc8_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;AODc8;F;NA;B;3;P;AT;secbivit;;Metadata Macrofauna;2019-01-01-NA_AT_SECBIVIT_F-AODc8_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_AT_SECBIVIT_F-AOLc11_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;AOLc11;F;NA;B;1;P;AT;secbivit;;Metadata Macrofauna;2019-01-01-NA_AT_SECBIVIT_F-AOLc11_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_AT_SECBIVIT_F-AOLc11_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;AOLc11;F;NA;B;2;P;AT;secbivit;;Metadata Macrofauna;2019-01-01-NA_AT_SECBIVIT_F-AOLc11_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_AT_SECBIVIT_F-AOLc12_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;AOLc12;F;NA;B;2;P;AT;secbivit;;Metadata Macrofauna;2019-01-01-NA_AT_SECBIVIT_F-AOLc12_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_AT_SECBIVIT_F-AOLc12_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;AOLc12;F;NA;B;3;P;AT;secbivit;;Metadata Macrofauna;2019-01-01-NA_AT_SECBIVIT_F-AOLc12_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_AT_SECBIVIT_F-AOLc13_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;AOLc13;F;NA;B;1;P;AT;secbivit;;Metadata Macrofauna;2019-01-01-NA_AT_SECBIVIT_F-AOLc13_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_AT_SECBIVIT_F-AOLc13_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;AOLc13;F;NA;B;2;P;AT;secbivit;;Metadata Macrofauna;2019-01-01-NA_AT_SECBIVIT_F-AOLc13_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_AT_SECBIVIT_F-AOLc13_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;AOLc13;F;NA;B;3;P;AT;secbivit;;Metadata Macrofauna;2019-01-01-NA_AT_SECBIVIT_F-AOLc13_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_AT_SECBIVIT_F-AOLc16_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;AOLc16;F;NA;B;3;P;AT;secbivit;;Metadata Macrofauna;2019-01-01-NA_AT_SECBIVIT_F-AOLc16_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_AT_SECBIVIT_F-AOLc3_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;AOLc3;F;NA;B;1;P;AT;secbivit;;Metadata Macrofauna;2019-01-01-NA_AT_SECBIVIT_F-AOLc3_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_AT_SECBIVIT_F-AOLc3_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;AOLc3;F;NA;B;2;P;AT;secbivit;;Metadata Macrofauna;2019-01-01-NA_AT_SECBIVIT_F-AOLc3_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_AT_SECBIVIT_F-AOLc3_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;AOLc3;F;NA;B;3;P;AT;secbivit;;Metadata Macrofauna;2019-01-01-NA_AT_SECBIVIT_F-AOLc3_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_AT_SECBIVIT_F-AOLc9_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;AOLc9;F;NA;B;1;P;AT;secbivit;;Metadata Macrofauna;2019-01-01-NA_AT_SECBIVIT_F-AOLc9_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_AT_SECBIVIT_F-AOLc9_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;AOLc9;F;NA;B;2;P;AT;secbivit;;Metadata Macrofauna;2019-01-01-NA_AT_SECBIVIT_F-AOLc9_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_AT_SECBIVIT_F-AOLc9_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;AOLc9;F;NA;B;3;P;AT;secbivit;;Metadata Macrofauna;2019-01-01-NA_AT_SECBIVIT_F-AOLc9_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 01 O_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 01 O;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 01 O_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 01 O_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 01 O;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 01 O_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 01 O_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 01 O;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 01 O_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 01 C_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 01 C;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 01 C_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 01 C_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 01 C;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 01 C_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 01 C_B-NA_P-4;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 01 C;F;NA;B;4;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 01 C_B-NA_P-4_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 02 O_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 02 O;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 02 O_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 02 O_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 02 O;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 02 O_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 02 O_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 02 O;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 02 O_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 02 C_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 02 C;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 02 C_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 02 C_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 02 C;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 02 C_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 02 C_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 02 C;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 02 C_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 03 O_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 03 O;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 03 O_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 03 O_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 03 O;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 03 O_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 03 O_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 03 O;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 03 O_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 03 C_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 03 C;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 03 C_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 04 O_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 04 O;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 04 O_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 04 O_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 04 O;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 04 O_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 04 O_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 04 O;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 04 O_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 04 C_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 04 C;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 04 C_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 04 C_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 04 C;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 04 C_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 04 C_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 04 C;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 04 C_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 05 O_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 05 O;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 05 O_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 05 O_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 05 O;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 05 O_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 05 O_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 05 O;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 05 O_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 05 C_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 05 C;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 05 C_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 05 C_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 05 C;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 05 C_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 05 C_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 05 C;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 05 C_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 06 O_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 06 O;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 06 O_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 06 O_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 06 O;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 06 O_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 06 O_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 06 O;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 06 O_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 06 C_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 06 C;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 06 C_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 06 C_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 06 C;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 06 C_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 06 C_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 06 C;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 06 C_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 07 C_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 07 C;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 07 C_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 07 C_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 07 C;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 07 C_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 07 C_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 07 C;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 07 C_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 08 O_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 08 O;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 08 O_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 08 O_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 08 O;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 08 O_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 08 C_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 08 C;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 08 C_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 08 C_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 08 C;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 08 C_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 08 C_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 08 C;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 08 C_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 09 O_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 09 O;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 09 O_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 09 O_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 09 O;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 09 O_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 09 O_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 09 O;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 09 O_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 09 C_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 09 C;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 09 C_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 09 C_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 09 C;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 09 C_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 09 C_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 09 C;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 09 C_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 10 O_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 10 O;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 10 O_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 10 O_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 10 O;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 10 O_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 10 O_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 10 O;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 10 O_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 10 C_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 10 C;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 10 C_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 10 C_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 10 C;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 10 C_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 10 C_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 10 C;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 10 C_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 11 O_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 11 O;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 11 O_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 11 O_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 11 O;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 11 O_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 11 O_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 11 O;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 11 O_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 11 C_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 11 C;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 11 C_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 11 C_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 11 C;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 11 C_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 11 C_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 11 C;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 11 C_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 12 C_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 12 C;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 12 C_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 12 C_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 12 C;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 12 C_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 13 O_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 13 O;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 13 O_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 13 O_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 13 O;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 13 O_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 13 O_B-NA_P-4;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 13 O;F;NA;B;4;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 13 O_B-NA_P-4_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 13 C_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 13 C;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 13 C_B-NA_P-1_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 13 C_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 13 C;F;NA;B;2;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 13 C_B-NA_P-2_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 13 C_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 13 C;F;NA;B;3;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 13 C_B-NA_P-3_Metadata Macrofauna;na;;;;;
2019-01-01-NA_FR_SECBIVIT_F- F 14 O_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;F 14 O;F;NA;B;1;P;FR;secbivit;;Metadata Macrofauna;2019-01-01-NA_FR_SECBIVIT_F- F 14 O_B-NA_P-1_Metadata Macrofauna;na;;;;;
