id_sampling_point;date_sample_collect;precision_date;id_level_1;level_1_scale_obs;id_level_2;level_2_scale_obs;id_level_3;level_3_scale_obs;country_code;main_prog_name;additional_name;data_type;id_sample;macrof_sampl_obs_meth;macrofauna_nb_samples;macrofauna_extract_duration;macrofauna_sampling_met_iso;macrof_sampled_each_subsample;macrofauna_exposit_time_traps
2022-10-01_M_IT_CREA_T-RT-MN_B-3_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;RT-MN;T;3;B;NA;P;IT;crea;MINOTAUR;Metadata Macrofauna;2022-10-01_M_IT_CREA_T-RT-MN_B-3_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_IT_CREA_T-ST-MN_B-2_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-MN;T;2;B;NA;P;IT;crea;MINOTAUR;Metadata Macrofauna;2022-10-01_M_IT_CREA_T-ST-MN_B-2_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_IT_CREA_T-ST-MN_B-3_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-MN;T;3;B;NA;P;IT;crea;MINOTAUR;Metadata Macrofauna;2022-10-01_M_IT_CREA_T-ST-MN_B-3_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU1_T-NT-MN_B-1_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;NT-MN;T;1;B;NA;P;SE;slu1;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU1_T-NT-MN_B-1_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU1_T-NT-MN_B-2_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;NT-MN;T;2;B;NA;P;SE;slu1;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU1_T-NT-MN_B-2_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU1_T-NT-MN_B-3_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;NT-MN;T;3;B;NA;P;SE;slu1;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU1_T-NT-MN_B-3_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU1_T-TR-MN_B-1_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;TR-MN;T;1;B;NA;P;SE;slu1;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU1_T-TR-MN_B-1_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU1_T-TR-MN_B-2_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;TR-MN;T;2;B;NA;P;SE;slu1;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU1_T-TR-MN_B-2_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU1_T-TR-MN_B-3_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;TR-MN;T;3;B;NA;P;SE;slu1;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU1_T-TR-MN_B-3_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU1_T-ST-MN_B-1_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-MN;T;1;B;NA;P;SE;slu1;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU1_T-ST-MN_B-1_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
