id_sampling_point;date_sample_collection;precision_date;data_type;id_sample;id_level_1;id_level_2;id_level_3;country_code;main_prog_name;type_of_sample;additional_name;fungi_ace_index;amf_spore_density;fungi_chao1_index;level_1_scale_obs;level_2_scale_obs;level_3_scale_obs;fungi_fisher_alpha;fungi_shannon_index;fungi_simpson_index;fungi_evenness_index;fungi_richness_index;fungi_number_amf_taxon;fungi_index_shan_logbase;mucor_relative_abundance;phoma_relative_abundance;apodus_relative_abundance;amf_phylogenetic_diversity;fungi_evenness_index_method;fungi_inverse_simpson_index;fusarium_relative_abundance;geomyces_relative_abundance;preussia_relative_abundance;rhizopus_relative_abundance;ascobolus_relative_abundance;exophiala_relative_abundance;fungi_phylogenetic_diversity;fusicolla_relative_abundance;paraphoma_relative_abundance;periconia_relative_abundance;podospora_relative_abundance;saitozyma_relative_abundance;acremonium_relative_abundance;alternaria_relative_abundance;chaetomium_relative_abundance;gibberella_relative_abundance;minimedusa_relative_abundance;coprinellus_relative_abundance;coprinopsis_relative_abundance;metarhizium_relative_abundance;mortierella_relative_abundance;sanchytrium_relative_abundance;scutellinia_relative_abundance;stromatinia_relative_abundance;syncephalis_relative_abundance;trichoderma_relative_abundance;cladorrhinum_relative_abundance;cladosporium_relative_abundance;clonostachys_relative_abundance;lophotrichus_relative_abundance;microdochium_relative_abundance;pseudaleuria_relative_abundance;pyrenochaeta_relative_abundance;stachybotrys_relative_abundance;tetracladium_relative_abundance;gibellulopsis_relative_abundance;pseudeurotium_relative_abundance;rhizophlyctis_relative_abundance;schizothecium_relative_abundance;solicoccozyma_relative_abundance;spizellomyces_relative_abundance;trichocladium_relative_abundance;dactylonectria_relative_abundance;leptodontidium_relative_abundance;ophiosphaerella_relative_abundance;ramophialophora_relative_abundance;trichosporiella_relative_abundance;plectosphaerella_relative_abundance;pseudogymnoascus_relative_abundance;pyrenochaetopsis_relative_abundance;pseudoarthrographis_relative_abundance
2011-08-04_D_IT_VC_SOIL_T_Upland_block_2_P_3;date:2011-08-04T00:00:00:yyyy-MM-dd;D;;VC_SOIL_upland_2_3;Upland;2;3;IT;vc_soil;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;76;T;block;P;20.553798821316;3.42859761387964;0.047616582992599;0.855580870219242;55;;e;;0.02158273381295;0;;Pielou;21.0010869565217;0.089928057553957;;;;;;;;;;0.010791366906475;;0.003597122302158;0;;0.014388489208633;;;;;0.043165467625899;;;;;0.003597122302158;;;;;0;;;;0.007194244604317;0;0.050359712230216;;;;;;;;;;;;;;
2011-09-07_D_IT_VC_SOIL_T_Upland_block_3_P_1;date:2011-09-07T00:00:00:yyyy-MM-dd;D;;VC_SOIL_upland_3_1;Upland;3;1;IT;vc_soil;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;90.5714285714286;T;block;P;21.6849094993656;3.62480406811466;0.042208604574728;0.815910108365843;85;;e;;0.11671335200747;0;;Pielou;23.6918516988537;0.072829131652661;;;;;;;;;;0.008403361344538;;0.012138188608777;0.017740429505135;;0.024276377217554;;;;;0.015873015873016;;;;;0.006535947712418;;;;;0.00186741363212;;;;0.002801120448179;0.00093370681606;0.063492063492064;;;;;;;;;;;;;;
2011-09-07_D_IT_VC_SOIL_T_Upland_block_3_P_2;date:2011-09-07T00:00:00:yyyy-MM-dd;D;;VC_SOIL_upland_3_2;Upland;3;2;IT;vc_soil;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;48.6666666666667;T;block;P;17.2553476820488;3.25665866804029;0.053356833840731;0.882831414945908;40;;e;;0;0;;Pielou;18.7417417417417;0.10126582278481;;;;;;;;;;0.031645569620253;;0;0;;0.012658227848101;;;;;0.012658227848101;;;;;0.012658227848101;;;;;0;;;;0.018987341772152;0.018987341772152;0.069620253164557;;;;;;;;;;;;;;
2011-09-07_D_IT_VC_SOIL_T_Upland_block_3_P_3;date:2011-09-07T00:00:00:yyyy-MM-dd;D;;VC_SOIL_upland_3_3;Upland;3;3;IT;vc_soil;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;105.625;T;block;P;23.4866014426658;3.72246170193912;0.034768253968254;0.86487114421588;74;;e;;0.078095238095238;0;;Pielou;28.7618699780862;0.072380952380952;;;;;;;;;;0.00952380952381;;0.007619047619048;0.003809523809524;;0.011428571428571;;;;;0.026666666666667;;;;;0.001904761904762;;;;;0.003809523809524;;;;0.007619047619048;0.00952380952381;0.028571428571429;;;;;;;;;;;;;;
2011-06-20_D_IT_VC_ROOT_T_Upland_block_1_P_1;date:2011-06-20T00:00:00:yyyy-MM-dd;D;;VC_ROOT_upland_1_1;Upland;1;1;IT;vc_root;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;54.1111111111111;T;block;P;10.8175228566861;2.53938472963838;0.15020944955873;0.645853851834947;51;;e;;0.316889632107023;0;;Pielou;6.65737077752232;0.256688963210702;;;;;;;;;;0.01505016722408;;0.000836120401338;0.010869565217391;;0.010033444816054;;;;;0.005852842809365;;;;;0;;;;;0;;;;0;0;0;;;;;;;;;;;;;;
2011-06-20_D_IT_VC_ROOT_T_Upland_block_1_P_2;date:2011-06-20T00:00:00:yyyy-MM-dd;D;;VC_ROOT_upland_1_2;Upland;1;2;IT;vc_root;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;62.125;T;block;P;13.1227475770254;2.89904703327325;0.088528903987525;0.744907732425533;49;;e;;0.319029850746269;0;;Pielou;11.2957458520091;0.128731343283582;;;;;;;;;;0.013059701492537;;0;0;;0.009328358208955;;;;;0.003731343283582;;;;;0.003731343283582;;;;;0.001865671641791;;;;0.007462686567164;0;0.001865671641791;;;;;;;;;;;;;;
2011-06-20_D_IT_VC_ROOT_T_Upland_block_1_P_3;date:2011-06-20T00:00:00:yyyy-MM-dd;D;;VC_ROOT_upland_1_3;Upland;1;3;IT;vc_root;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;49;T;block;P;13.0155105653087;2.52676860542948;0.177404887881078;0.676027809699771;42;;e;;0.444444444444444;0;;Pielou;5.63682326876101;0.076190476190476;;;;;;;;;;0.012698412698413;;0;0.003174603174603;;0.012698412698413;;;;;0.00952380952381;;;;;0;;;;;0;;;;0.003174603174603;0;0;;;;;;;;;;;;;;
2011-08-04_D_IT_VC_ROOT_T_Upland_block_2_P_1;date:2011-08-04T00:00:00:yyyy-MM-dd;D;;VC_ROOT_upland_2_1;Upland;2;1;IT;vc_root;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;72.6;T;block;P;14.7353145061104;2.93442262041719;0.101498133892238;0.719655591343;59;;e;;0.365699873896595;0;;Pielou;9.85239788804111;0.098360655737705;;;;;;;;;;0.021437578814628;;0.001261034047919;0.001261034047919;;0.020176544766709;;;;;0.003783102143758;;;;;0;;;;;0.01765447667087;;;;0;0.001261034047919;0;;;;;;;;;;;;;;
2011-08-04_D_IT_VC_ROOT_T_Upland_block_2_P_2;date:2011-08-04T00:00:00:yyyy-MM-dd;D;;VC_ROOT_upland_2_2;Upland;2;2;IT;vc_root;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;70;T;block;P;14.8072132261983;2.92633479075753;0.109122991979053;0.703634781767788;64;;e;;0.290644868301544;0;;Pielou;9.16397160547026;0.079927338782925;;;;;;;;;;0.019981834695731;;0;0.019981834695731;;0.009990917347866;;;;;0.019073569482289;;;;;0;;;;;0.010899182561308;;;;0;0.000908265213442;0;;;;;;;;;;;;;;
2011-08-04_D_IT_VC_ROOT_T_Upland_block_2_P_3;date:2011-08-04T00:00:00:yyyy-MM-dd;D;;VC_ROOT_upland_2_3;Upland;2;3;IT;vc_root;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;87.1428571428571;T;block;P;16.6594370203035;3.125726017488;0.083415524492966;0.763425249142098;60;;e;;0.262626262626263;0;;Pielou;11.9881761348192;0.050505050505051;;;;;;;;;;0.006734006734007;;0.001683501683502;0.01010101010101;;0.031986531986532;;;;;0.003367003367003;;;;;0.016835016835017;;;;;0.015151515151515;;;;0;0.026936026936027;0;;;;;;;;;;;;;;
2011-09-07_D_IT_VC_ROOT_T_Upland_block_3_P_1;date:2011-09-07T00:00:00:yyyy-MM-dd;D;;VC_ROOT_upland_3_1;Upland;3;1;IT;vc_root;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;67.8571428571429;T;block;P;13.8308564403303;2.89486627347238;0.090489025798999;0.756107969821097;46;;e;;0.194070080862534;0;;Pielou;11.0510638297872;0.177897574123989;;;;;;;;;;0.026954177897574;;0.086253369272237;0.005390835579515;;0.008086253369272;;;;;0.024258760107817;;;;;0;;;;;0;;;;0;0;0.002695417789757;;;;;;;;;;;;;;
2011-09-07_D_IT_VC_ROOT_T_Upland_block_3_P_2;date:2011-09-07T00:00:00:yyyy-MM-dd;D;;VC_ROOT_upland_3_2;Upland;3;2;IT;vc_root;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;69.6;T;block;P;11.2711783311555;2.66338943969048;0.147527537428604;0.667686159834223;54;;e;;0.468796433878158;0.00074294205052;;Pielou;6.77839552825148;0.022288261515602;;;;;;;;;;0.00074294205052;;0.00222882615156;0.014115898959881;;0.035661218424963;;;;;0;;;;;0;;;;;0.00520059435364;;;;0;0;0;;;;;;;;;;;;;;
