id_sampling_point;date_sample_collection;precision_date;country_code;programme_name;additional_name;level_1_of_scale_observation;id_level_1_scale_observation;level_2_of_scale_observation_block_or_no;iid_level_2_scale_observation;level_3_of_scale_observation;id_level_3;id_sample;data_type;date_soil_sampling_for_chemical_analysis;type_of_the_sample;soil_type_wrb;wrb_version;soil_taxonomy_version;soil_type_in_soil_taxonomy;name_local_soil_classification;soil_type_in_a_local_classification;ph_method;ph_mean;cec_mean;caco3;texture;texture_triangle;sand;sand_limit;silt;silt_limit;clay_limit;bottom_depth_of_top_layer;carbon_azote_ratio_mean;soc_mean;som_mean;soil_sample_depth;bulk_density;soil_analysis_sample_mass;soil_humidity;soil_total_depth;phosphorus_total;phosphorus_available;potassium_available;nitrogen;organic_carbon
2020-06-10_D_IT_Private vineyard farm collaboration_T_IT_Braccesca_Biochar_block_C_NA_NA;date:2020-06-10T00:00:00:yyyy-MM-dd;D;IT;private_vineyard_farm_collaboration;;T;IT_Braccesca_Biochar;block;C;NA;NA;;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-06-10_D_IT_Private vineyard farm collaboration_T_IT_Braccesca_Biochar_block_B_NA_NA;date:2020-06-10T00:00:00:yyyy-MM-dd;D;IT;private_vineyard_farm_collaboration;;T;IT_Braccesca_Biochar;block;B;NA;NA;;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-06-10_D_IT_Private vineyard farm collaboration_T_IT_Braccesca_Biochar_block_BB_NA_NA;date:2020-06-10T00:00:00:yyyy-MM-dd;D;IT;private_vineyard_farm_collaboration;;T;IT_Braccesca_Biochar;block;BB;NA;NA;;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-09-10_D_IT_MONACO_F_Caorle_4_NA_NA_P_1;date:2012-09-10T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Caorle_4;NA;NA;P;1;;;;;na;;;;;;;;;;;;19.5;;63.4;;;;;;;;;;;;;;;;
2012-09-10_D_IT_MONACO_F_Caorle_4_NA_NA_P_2;date:2012-09-10T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Caorle_4;NA;NA;P;2;;;;;na;;;;;;;;;;;;19.5;;63.4;;;;;;;;;;;;;;;;
2012-09-10_D_IT_MONACO_F_Caorle_4_NA_NA_P_3;date:2012-09-10T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Caorle_4;NA;NA;P;3;;;;;na;;;;;;;;;;;;19.5;;63.4;;;;;;;;;;;;;;;;
2012-09-26_D_IT_MONACO_F_Metaponto_4_NA_NA_P_1;date:2012-09-26T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Metaponto_4;NA;NA;P;1;;;;;na;;;;;;;8.65;;;;;12.8;;41.4;;;;;;;;;;;;;;;;
2012-09-26_D_IT_MONACO_F_Metaponto_4_NA_NA_P_2;date:2012-09-26T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Metaponto_4;NA;NA;P;2;;;;;na;;;;;;;8.65;;;;;12.8;;41.4;;;;;;;;;;;;;;;;
2012-09-26_D_IT_MONACO_F_Metaponto_4_NA_NA_P_3;date:2012-09-26T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Metaponto_4;NA;NA;P;3;;;;;na;;;;;;;8.65;;;;;12.8;;41.4;;;;;;;;;;;;;;;;
2012-10-04_D_IT_MONACO_F_Fagna_4_NA_NA_P_3;date:2012-10-04T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Fagna_4;NA;NA;P;3;;;;;na;;;;;;;8.18;;;;;14.8;;34.1;;;;;;;;;;;;;;;;
2012-10-04_D_IT_MONACO_F_Fagna_4_NA_NA_P_1;date:2012-10-04T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Fagna_4;NA;NA;P;1;;;;;na;;;;;;;8.18;;;;;14.8;;34.1;;;;;;;;;;;;;;;;
2012-10-04_D_IT_MONACO_F_Fagna_4_NA_NA_P_2;date:2012-10-04T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Fagna_4;NA;NA;P;2;;;;;na;;;;;;;8.18;;;;;14.8;;34.1;;;;;;;;;;;;;;;;
2013-05-09_D_IT_MONACO_F_Metaponto_4_NA_NA_P_1;date:2013-05-09T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Metaponto_4;NA;NA;P;1;;;;;na;;;;;;;;;;;;19.5;;63.4;;;;;;;;;;;;;;;;
2013-05-09_D_IT_MONACO_F_Metaponto_4_NA_NA_P_2;date:2013-05-09T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Metaponto_4;NA;NA;P;2;;;;;na;;;;;;;;;;;;19.5;;63.4;;;;;;;;;;;;;;;;
2013-05-09_D_IT_MONACO_F_Metaponto_4_NA_NA_P_3;date:2013-05-09T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Metaponto_4;NA;NA;P;3;;;;;na;;;;;;;;;;;;19.5;;63.4;;;;;;;;;;;;;;;;
2013-06-05_D_IT_MONACO_F_Caorle_4_NA_NA_P_1;date:2013-06-05T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Caorle_4;NA;NA;P;1;;;;;na;;;;;;;8.65;;;;;12.8;;41.4;;;;;;;;;;;;;;;;
2013-06-05_D_IT_MONACO_F_Caorle_4_NA_NA_P_2;date:2013-06-05T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Caorle_4;NA;NA;P;2;;;;;na;;;;;;;8.65;;;;;12.8;;41.4;;;;;;;;;;;;;;;;
2013-06-05_D_IT_MONACO_F_Caorle_4_NA_NA_P_3;date:2013-06-05T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Caorle_4;NA;NA;P;3;;;;;na;;;;;;;8.65;;;;;12.8;;41.4;;;;;;;;;;;;;;;;
2013-06-10_D_IT_MONACO_F_Fagna_4_NA_NA_P_1;date:2013-06-10T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Fagna_4;NA;NA;P;1;;;;;na;;;;;;;8.18;;;;;14.8;;34.1;;;;;;;;;;;;;;;;
2013-06-10_D_IT_MONACO_F_Fagna_4_NA_NA_P_2;date:2013-06-10T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Fagna_4;NA;NA;P;2;;;;;na;;;;;;;8.18;;;;;14.8;;34.1;;;;;;;;;;;;;;;;
2013-06-10_D_IT_MONACO_F_Fagna_4_NA_NA_P_3;date:2013-06-10T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Fagna_4;NA;NA;P;3;;;;;na;;;;;;;8.18;;;;;14.8;;34.1;;;;;;;;;;;;;;;;
2001-10-08_D_IT_NA_F_Stuard_NA_NA_P_1;date:2001-10-08T00:00:00:yyyy-MM-dd;D;IT;na;;F;Stuard;NA;NA;P;1;;;;;na;;;;;;;8.0;;;;;14.0;;54.0;;;;;;;;;;;;;;;;
2001-10-08_D_IT_NA_F_Stuard_NA_NA_P_2;date:2001-10-08T00:00:00:yyyy-MM-dd;D;IT;na;;F;Stuard;NA;NA;P;2;;;;;na;;;;;;;8.0;;;;;14.0;;54.0;;;;;;;;;;;;;;;;
2001-10-08_D_IT_NA_F_Stuard_NA_NA_P_3;date:2001-10-08T00:00:00:yyyy-MM-dd;D;IT;na;;F;Stuard;NA;NA;P;3;;;;;na;;;;;;;8.0;;;;;14.0;;54.0;;;;;;;;;;;;;;;;
2003-04-16_D_IT_NA_F_cesa_NA_NA_NA_NA;date:2003-04-16T00:00:00:yyyy-MM-dd;D;IT;na;;F;cesa;NA;NA;NA;NA;;;;;na;;;;;;;7.42;;;;;;;;;;;;;;;;;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_1;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_1;NA;NA;P;1;;;;;luvisol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_2;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_1;NA;NA;P;2;;;;;luvisol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_3;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_1;NA;NA;P;3;;;;;luvisol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_1;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_2;NA;NA;P;1;;;;;luvisol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_2;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_2;NA;NA;P;2;;;;;luvisol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_3;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_2;NA;NA;P;3;;;;;luvisol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_1;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_3;NA;NA;P;1;;;;;luvisol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_2;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_3;NA;NA;P;2;;;;;luvisol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_3;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_3;NA;NA;P;3;;;;;luvisol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_1;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_4;NA;NA;P;1;;;;;cambisol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_2;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_4;NA;NA;P;2;;;;;cambisol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_3;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_4;NA;NA;P;3;;;;;cambisol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_1;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_1;NA;NA;P;1;;;;;luvisol;;;;;;water;6.5;;;fine_sand;;67.0;;20.0;;;;;;;;;;;;;;;;
2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_3;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_2;NA;NA;P;3;;;;;luvisol;;;;;;water;6.7;;;fine_sand;;51.0;;30.0;;;;;;;;;;;;;;;;
2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_1;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_3;NA;NA;P;1;;;;;luvisol;;;;;;water;6.2;;;fine_sand;;71.0;;18.0;;;;;;;;;;;;;;;;
2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_2;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_3;NA;NA;P;2;;;;;luvisol;;;;;;water;6.2;;;fine_sand;;71.0;;18.0;;;;;;;;;;;;;;;;
2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_3;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_3;NA;NA;P;3;;;;;luvisol;;;;;;water;6.2;;;fine_sand;;71.0;;18.0;;;;;;;;;;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_2_NA_NA_P_3;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_2;NA;NA;P;3;;;;;cambisol;;;;;;water;5.87;27.53;9.6;loamy_sand;;56.0;;34.0;;;;;;;;;;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_3_NA_NA_P_1;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_3;NA;NA;P;1;;;;;cambisol;;;;;;water;6.48;35.13;8;loamy_sand;;55.0;;33.0;;;;;;;;;;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_3_NA_NA_P_2;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_3;NA;NA;P;2;;;;;cambisol;;;;;;water;6.48;35.13;8;loamy_sand;;55.0;;33.0;;;;;;;;;;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_3_NA_NA_P_3;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_3;NA;NA;P;3;;;;;cambisol;;;;;;water;6.48;35.13;8;loamy_sand;;55.0;;33.0;;;;;;;;;;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_4_NA_NA_P_1;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_4;NA;NA;P;1;;;;;cambisol;;;;;;water;;;;loamy_sand;;56.0;;34.0;;;;;;;;;;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_4_NA_NA_P_2;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_4;NA;NA;P;2;;;;;cambisol;;;;;;water;;;;loamy_sand;;56.0;;34.0;;;;;;;;;;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_4_NA_NA_P_3;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_4;NA;NA;P;3;;;;;cambisol;;;;;;water;;;;loamy_sand;;56.0;;34.0;;;;;;;;;;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_PED_1_NA_NA_P_1;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_1;NA;NA;P;1;;;;;luvisol;;;;;;water;6.14;15.63;7.6;loamy_sand;;48.0;;48.0;;;;;;;;;;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_PED_2_NA_NA_P_3;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_2;NA;NA;P;3;;;;;luvisol;;;;;;water;5.81;18.03;8.3;loamy_sand;;48.0;;48.0;;;;;;;;;;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_PED_3_NA_NA_P_1;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_3;NA;NA;P;1;;;;;luvisol;;;;;;water;6.28;18.9;6;loamy_sand;;48.0;;48.0;;;;;;;;;;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_PED_3_NA_NA_P_2;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_3;NA;NA;P;2;;;;;luvisol;;;;;;water;6.28;18.9;6;loamy_sand;;48.0;;48.0;;;;;;;;;;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_PED_3_NA_NA_P_3;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_3;NA;NA;P;3;;;;;luvisol;;;;;;water;6.28;18.9;6;loamy_sand;;48.0;;48.0;;;;;;;;;;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_NEO_2_NA_NA_P_3;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_2;NA;NA;P;3;;;;;cambisol;;;;;;water;5.9;18.53;9.33;loamy_sand;;55.0;;33.0;;;;;;;;;;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_NEO_3_NA_NA_P_1;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_3;NA;NA;P;1;;;;;cambisol;;;;;;water;6.29;29.26;12;loamy_sand;;55.0;;33.0;;;;;;;;;;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_NEO_3_NA_NA_P_2;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_3;NA;NA;P;2;;;;;cambisol;;;;;;water;6.29;29.26;12;loamy_sand;;55.0;;33.0;;;;;;;;;;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_NEO_3_NA_NA_P_3;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_3;NA;NA;P;3;;;;;cambisol;;;;;;water;6.29;29.26;12;loamy_sand;;55.0;;33.0;;;;;;;;;;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_COL_1_NA_NA_P_2;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_1;NA;NA;P;2;;;;;luvisol;;;;;;water;6.24;25.7;6.5;loam;;40.0;;39.0;;;;;;;;;;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_COL_1_NA_NA_P_3;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_1;NA;NA;P;3;;;;;luvisol;;;;;;water;6.24;25.7;6.5;loam;;40.0;;39.0;;;;;;;;;;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_COL_2_NA_NA_P_1;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_2;NA;NA;P;1;;;;;luvisol;;;;;;water;6.82;21.57;14;loam;;40.0;;39.0;;;;;;;;;;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_COL_2_NA_NA_P_2;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_2;NA;NA;P;2;;;;;luvisol;;;;;;water;6.82;21.57;14;loam;;40.0;;39.0;;;;;;;;;;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_LOV_1_NA_NA_P_3;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_1;NA;NA;P;3;;;;;cambisol;;;;;;water;5.98;36.5;6;loamy_sand;;55.0;;33.0;;;;;;;;;;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_LOV_2_NA_NA_P_1;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_2;NA;NA;P;1;;;;;cambisol;;;;;;water;6.0;41;5.6;loamy_sand;;56.0;;34.0;;;;;;;;;;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_LOV_2_NA_NA_P_2;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_2;NA;NA;P;2;;;;;cambisol;;;;;;water;6.0;41;5.6;loamy_sand;;56.0;;34.0;;;;;;;;;;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_LOV_2_NA_NA_P_3;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_2;NA;NA;P;3;;;;;cambisol;;;;;;water;6.0;41;5.6;loamy_sand;;56.0;;34.0;;;;;;;;;;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_LOV_4_NA_NA_P_2;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_4;NA;NA;P;2;;;;;cambisol;;;;;;water;;;;loamy_sand;;56.0;;34.0;;;;;;;;;;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_LOV_4_NA_NA_P_3;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_4;NA;NA;P;3;;;;;cambisol;;;;;;water;;;;loamy_sand;;56.0;;34.0;;;;;;;;;;;;;;;;
2021-04-17_D_IT_SOIL4LIFE_F_PED_1_NA_NA_P_1;date:2021-04-17T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_1;NA;NA;P;1;;;;;luvisol;;;;;;water;5.84;29;4.3;loamy_sand;;48.0;;48.0;;;;;;;;;;;;;;;;
2021-04-17_D_IT_SOIL4LIFE_F_PED_1_NA_NA_P_2;date:2021-04-17T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_1;NA;NA;P;2;;;;;luvisol;;;;;;water;5.84;29;4.3;loamy_sand;;48.0;;48.0;;;;;;;;;;;;;;;;
2021-04-17_D_IT_SOIL4LIFE_F_PED_4_NA_NA_P_2;date:2021-04-17T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_4;NA;NA;P;2;;;;;luvisol;;;;;;water;6.17;34.8;6;loamy_sand;;48.0;;48.0;;;;;;;;;;;;;;;;
2021-04-17_D_IT_SOIL4LIFE_F_PED_4_NA_NA_P_3;date:2021-04-17T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_4;NA;NA;P;3;;;;;luvisol;;;;;;water;6.17;34.8;6;loamy_sand;;48.0;;48.0;;;;;;;;;;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_NEO_1_NA_NA_P_1;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_1;NA;NA;P;1;;;;;cambisol;;;;;;water;6.2;24.7;10.6;loamy_sand;;55.0;;33.0;;;;;;;;;;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_NEO_1_NA_NA_P_2;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_1;NA;NA;P;2;;;;;cambisol;;;;;;water;6.2;24.7;10.6;loamy_sand;;55.0;;33.0;;;;;;;;;;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_NEO_4_NA_NA_P_2;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_4;NA;NA;P;2;;;;;cambisol;;;;;;water;;;;loamy_sand;;55.0;;33.0;;;;;;;;;;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_NEO_4_NA_NA_P_3;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_4;NA;NA;P;3;;;;;cambisol;;;;;;water;;;;loamy_sand;;55.0;;33.0;;;;;;;;;;;;;;;;
2021-04-17_D_IT_SOIL4LIFE_F_COL_1_NA_NA_P_1;date:2021-04-17T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_1;NA;NA;P;1;;;;;luvisol;;;;;;water;6.69;30.95;8;loam;;40.0;;39.0;;;;;;;;;;;;;;;;
2021-04-17_D_IT_SOIL4LIFE_F_COL_1_NA_NA_P_2;date:2021-04-17T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_1;NA;NA;P;2;;;;;luvisol;;;;;;water;6.69;30.95;8;loam;;40.0;;39.0;;;;;;;;;;;;;;;;
2021-04-17_D_IT_SOIL4LIFE_F_COL_4_NA_NA_P_2;date:2021-04-17T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_4;NA;NA;P;2;;;;;arenosol;;;;;;water;;;;sandy_loam;;86.0;;9.0;;;;;;;;;;;;;;;;
2021-04-17_D_IT_SOIL4LIFE_F_COL_4_NA_NA_P_3;date:2021-04-17T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_4;NA;NA;P;3;;;;;arenosol;;;;;;water;;;;sandy_loam;;86.0;;9.0;;;;;;;;;;;;;;;;
2022-10-13_D_IT_qbs_prati_F_E-1_NA_NA_P_1;date:2022-10-13T00:00:00:yyyy-MM-dd;D;IT;qbs_prati;;F;E-1;NA;NA;P;1;;;;;luvisol;;;;;;water;7.1;13;;loam;;42.0;;35.0;;;;;;;;;;;;;;;;
2022-10-13_D_IT_qbs_prati_F_E-1_NA_NA_P_2;date:2022-10-13T00:00:00:yyyy-MM-dd;D;IT;qbs_prati;;F;E-1;NA;NA;P;2;;;;;luvisol;;;;;;water;7.1;13;;loam;;42.0;;35.0;;;;;;;;;;;;;;;;
2022-10-13_D_IT_qbs_prati_F_E-1_NA_NA_P_3;date:2022-10-13T00:00:00:yyyy-MM-dd;D;IT;qbs_prati;;F;E-1;NA;NA;P;3;;;;;luvisol;;;;;;water;7.1;13;;loam;;42.0;;35.0;;;;;;;;;;;;;;;;
2022-10-13_D_IT_qbs_prati_F_E-13_NA_NA_P_2;date:2022-10-13T00:00:00:yyyy-MM-dd;D;IT;qbs_prati;;F;E-13;NA;NA;P;2;;;;;luvisol;;;;;;water;7.1;13;;loam;;42.0;;35.0;;;;;;;;;;;;;;;;
2022-10-13_D_IT_qbs_prati_F_E-13_NA_NA_P_3;date:2022-10-13T00:00:00:yyyy-MM-dd;D;IT;qbs_prati;;F;E-13;NA;NA;P;3;;;;;luvisol;;;;;;water;7.1;13;;loam;;42.0;;35.0;;;;;;;;;;;;;;;;
2022-10-13_D_IT_qbs_prati_F_E-14_NA_NA_P_1;date:2022-10-13T00:00:00:yyyy-MM-dd;D;IT;qbs_prati;;F;E-14;NA;NA;P;1;;;;;luvisol;;;;;;water;7.1;13;;loam;;42.0;;35.0;;;;;;;;;;;;;;;;
2022-10-13_D_IT_qbs_prati_F_E-14_NA_NA_P_2;date:2022-10-13T00:00:00:yyyy-MM-dd;D;IT;qbs_prati;;F;E-14;NA;NA;P;2;;;;;luvisol;;;;;;water;7.1;13;;loam;;42.0;;35.0;;;;;;;;;;;;;;;;
2022-10-13_D_IT_qbs_prati_F_E-14_NA_NA_P_3;date:2022-10-13T00:00:00:yyyy-MM-dd;D;IT;qbs_prati;;F;E-14;NA;NA;P;3;;;;;luvisol;;;;;;water;7.1;13;;loam;;42.0;;35.0;;;;;;;;;;;;;;;;
2022-10-14_D_IT_qbs_prati_F_E-18_NA_NA_P_2;date:2022-10-14T00:00:00:yyyy-MM-dd;D;IT;qbs_prati;;F;E-18;NA;NA;P;2;;;;;cambisol;;;;;;water;7.8;25.7;4;loam;;48.0;;30.0;;;;;;;;;;;;;;;;
2022-10-14_D_IT_qbs_prati_F_E-18_NA_NA_P_3;date:2022-10-14T00:00:00:yyyy-MM-dd;D;IT;qbs_prati;;F;E-18;NA;NA;P;3;;;;;cambisol;;;;;;water;7.8;25.7;4;loam;;48.0;;30.0;;;;;;;;;;;;;;;;
2022-10-14_D_IT_qbs_prati_F_E-19_NA_NA_P_1;date:2022-10-14T00:00:00:yyyy-MM-dd;D;IT;qbs_prati;;F;E-19;NA;NA;P;1;;;;;cambisol;;;;;;water;7.8;25.7;4;loam;;48.0;;30.0;;;;;;;;;;;;;;;;
